Configuration,Accuracy,Macro F1,Precision,Recall
Dual_Attention_CBAM,0.8311526479750779,0.7213265063384673,0.703225263402945,0.7450261001323917
No_Dropout_No_BatchNorm,0.8258566978193146,0.7201675147433131,0.7050334888862768,0.7411869735979177
Channel_Attention_Only,0.8102803738317756,0.7159911834094931,0.6905561741094282,0.75447672634802
Augmentation_OFF,0.8398753894080997,0.7138229034775037,0.7206188333927254,0.7088715066699071
Spatial_Attention_Only,0.8090342679127726,0.7105010406052779,0.6843561065197177,0.7501999219260809
No_Attention,0.8040498442367601,0.7042619701226202,0.6755888188226203,0.7482527164460284
Shallow_Fewer_ConvBlocks,0.7735202492211838,0.6738338504197667,0.6398273163020991,0.7293804690487625
